LocalTime,Power(MW)
01/01/19 00:00,0.0
01/01/19 01:00,0.0
01/01/19 02:00,0.0
01/01/19 03:00,0.0
01/01/19 04:00,0.0
01/01/19 05:00,0.0
01/01/19 06:00,0.0
01/01/19 07:00,0.0
01/01/19 08:00,0.0
01/01/19 09:00,0.0
01/01/19 10:00,0.0
01/01/19 11:00,0.173
01/01/19 12:00,0.411
01/01/19 13:00,0.647
01/01/19 14:00,0.849
01/01/19 15:00,0.988
01/01/19 16:00,1.047
01/01/19 17:00,1.061
01/01/19 18:00,0.983
01/01/19 19:00,0.651
01/01/19 20:00,0.266
01/01/19 21:00,0.215
01/01/19 22:00,0.131
01/01/19 23:00,0.013
01/02/19 00:00,0.0
01/02/19 01:00,0.0
01/02/19 02:00,0.0
01/02/19 03:00,0.0
01/02/19 04:00,0.0
01/02/19 05:00,0.0
01/02/19 06:00,0.0
01/02/19 07:00,0.0
01/02/19 08:00,0.0
01/02/19 09:00,0.0
01/02/19 10:00,0.0
01/02/19 11:00,0.075
01/02/19 12:00,0.206
01/02/19 13:00,0.61
01/02/19 14:00,0.794
01/02/19 15:00,0.928
01/02/19 16:00,1.005
01/02/19 17:00,0.698
01/02/19 18:00,0.423
01/02/19 19:00,0.37
01/02/19 20:00,0.355
01/02/19 21:00,0.134
01/02/19 22:00,0.039
01/02/19 23:00,0.019
01/03/19 00:00,0.0
01/03/19 01:00,0.0
01/03/19 02:00,0.0
01/03/19 03:00,0.0
01/03/19 04:00,0.0
01/03/19 05:00,0.0
01/03/19 06:00,0.0
01/03/19 07:00,0.0
01/03/19 08:00,0.0
01/03/19 09:00,0.0
01/03/19 10:00,0.0
01/03/19 11:00,0.063
01/03/19 12:00,0.344
01/03/19 13:00,0.573
01/03/19 14:00,0.836
01/03/19 15:00,0.98
01/03/19 16:00,1.057
01/03/19 17:00,0.765
01/03/19 18:00,0.31
01/03/19 19:00,0.339
01/03/19 20:00,0.041
01/03/19 21:00,0.131
01/03/19 22:00,0.09
01/03/19 23:00,0.032
01/04/19 00:00,0.0
01/04/19 01:00,0.0
01/04/19 02:00,0.0
01/04/19 03:00,0.0
01/04/19 04:00,0.0
01/04/19 05:00,0.0
01/04/19 06:00,0.0
01/04/19 07:00,0.0
01/04/19 08:00,0.0
01/04/19 09:00,0.0
01/04/19 10:00,0.0
01/04/19 11:00,0.195
01/04/19 12:00,0.449
01/04/19 13:00,0.69
01/04/19 14:00,0.896
01/04/19 15:00,1.049
01/04/19 16:00,1.128
01/04/19 17:00,1.138
01/04/19 18:00,1.076
01/04/19 19:00,0.945
01/04/19 20:00,0.755
01/04/19 21:00,0.523
01/04/19 22:00,0.27
01/04/19 23:00,0.047
01/05/19 00:00,0.0
01/05/19 01:00,0.0
01/05/19 02:00,0.0
01/05/19 03:00,0.0
01/05/19 04:00,0.0
01/05/19 05:00,0.0
01/05/19 06:00,0.0
01/05/19 07:00,0.0
01/05/19 08:00,0.0
01/05/19 09:00,0.0
01/05/19 10:00,0.0
01/05/19 11:00,0.205
01/05/19 12:00,0.421
01/05/19 13:00,0.713
01/05/19 14:00,0.923
01/05/19 15:00,0.971
01/05/19 16:00,1.159
01/05/19 17:00,1.17
01/05/19 18:00,1.105
01/05/19 19:00,0.884
01/05/19 20:00,0.771
01/05/19 21:00,0.533
01/05/19 22:00,0.276
01/05/19 23:00,0.049
01/06/19 00:00,0.0
01/06/19 01:00,0.0
01/06/19 02:00,0.0
01/06/19 03:00,0.0
01/06/19 04:00,0.0
01/06/19 05:00,0.0
01/06/19 06:00,0.0
01/06/19 07:00,0.0
01/06/19 08:00,0.0
01/06/19 09:00,0.0
01/06/19 10:00,0.0
01/06/19 11:00,0.153
01/06/19 12:00,0.472
01/06/19 13:00,0.722
01/06/19 14:00,0.934
01/06/19 15:00,1.09
01/06/19 16:00,1.177
01/06/19 17:00,1.189
01/06/19 18:00,1.119
01/06/19 19:00,0.983
01/06/19 20:00,0.787
01/06/19 21:00,0.547
01/06/19 22:00,0.287
01/06/19 23:00,0.052
01/07/19 00:00,0.0
01/07/19 01:00,0.0
01/07/19 02:00,0.0
01/07/19 03:00,0.0
01/07/19 04:00,0.0
01/07/19 05:00,0.0
01/07/19 06:00,0.0
01/07/19 07:00,0.0
01/07/19 08:00,0.0
01/07/19 09:00,0.0
01/07/19 10:00,0.0
01/07/19 11:00,0.205
01/07/19 12:00,0.467
01/07/19 13:00,0.718
01/07/19 14:00,0.931
01/07/19 15:00,1.087
01/07/19 16:00,1.175
01/07/19 17:00,1.182
01/07/19 18:00,1.118
01/07/19 19:00,0.983
01/07/19 20:00,0.788
01/07/19 21:00,0.548
01/07/19 22:00,0.288
01/07/19 23:00,0.052
01/08/19 00:00,0.0
01/08/19 01:00,0.0
01/08/19 02:00,0.0
01/08/19 03:00,0.0
01/08/19 04:00,0.0
01/08/19 05:00,0.0
01/08/19 06:00,0.0
01/08/19 07:00,0.0
01/08/19 08:00,0.0
01/08/19 09:00,0.0
01/08/19 10:00,0.0
01/08/19 11:00,0.21
01/08/19 12:00,0.475
01/08/19 13:00,0.728
01/08/19 14:00,0.942
01/08/19 15:00,1.101
01/08/19 16:00,1.183
01/08/19 17:00,1.196
01/08/19 18:00,1.132
01/08/19 19:00,0.991
01/08/19 20:00,0.795
01/08/19 21:00,0.555
01/08/19 22:00,0.293
01/08/19 23:00,0.054
01/09/19 00:00,0.0
01/09/19 01:00,0.0
01/09/19 02:00,0.0
01/09/19 03:00,0.0
01/09/19 04:00,0.0
01/09/19 05:00,0.0
01/09/19 06:00,0.0
01/09/19 07:00,0.0
01/09/19 08:00,0.0
01/09/19 09:00,0.0
01/09/19 10:00,0.0
01/09/19 11:00,0.204
01/09/19 12:00,0.472
01/09/19 13:00,0.727
01/09/19 14:00,0.937
01/09/19 15:00,1.097
01/09/19 16:00,1.187
01/09/19 17:00,1.194
01/09/19 18:00,1.131
01/09/19 19:00,0.991
01/09/19 20:00,0.796
01/09/19 21:00,0.556
01/09/19 22:00,0.293
01/09/19 23:00,0.054
01/10/19 00:00,0.0
01/10/19 01:00,0.0
01/10/19 02:00,0.0
01/10/19 03:00,0.0
01/10/19 04:00,0.0
01/10/19 05:00,0.0
01/10/19 06:00,0.0
01/10/19 07:00,0.0
01/10/19 08:00,0.0
01/10/19 09:00,0.0
01/10/19 10:00,0.0
01/10/19 11:00,0.152
01/10/19 12:00,0.475
01/10/19 13:00,0.73
01/10/19 14:00,0.94
01/10/19 15:00,1.1
01/10/19 16:00,1.183
01/10/19 17:00,1.191
01/10/19 18:00,1.123
01/10/19 19:00,0.989
01/10/19 20:00,0.79
01/10/19 21:00,0.551
01/10/19 22:00,0.291
01/10/19 23:00,0.054
01/11/19 00:00,0.0
01/11/19 01:00,0.0
01/11/19 02:00,0.0
01/11/19 03:00,0.0
01/11/19 04:00,0.0
01/11/19 05:00,0.0
01/11/19 06:00,0.0
01/11/19 07:00,0.0
01/11/19 08:00,0.0
01/11/19 09:00,0.0
01/11/19 10:00,0.0
01/11/19 11:00,0.119
01/11/19 12:00,0.17
01/11/19 13:00,0.627
01/11/19 14:00,0.734
01/11/19 15:00,1.036
01/11/19 16:00,1.151
01/11/19 17:00,1.103
01/11/19 18:00,0.954
01/11/19 19:00,0.971
01/11/19 20:00,0.782
01/11/19 21:00,0.544
01/11/19 22:00,0.286
01/11/19 23:00,0.053
01/12/19 00:00,0.0
01/12/19 01:00,0.0
01/12/19 02:00,0.0
01/12/19 03:00,0.0
01/12/19 04:00,0.0
01/12/19 05:00,0.0
01/12/19 06:00,0.0
01/12/19 07:00,0.0
01/12/19 08:00,0.0
01/12/19 09:00,0.0
01/12/19 10:00,0.0
01/12/19 11:00,0.198
01/12/19 12:00,0.465
01/12/19 13:00,0.719
01/12/19 14:00,0.936
01/12/19 15:00,1.097
01/12/19 16:00,1.182
01/12/19 17:00,1.198
01/12/19 18:00,1.13
01/12/19 19:00,0.991
01/12/19 20:00,0.793
01/12/19 21:00,0.553
01/12/19 22:00,0.292
01/12/19 23:00,0.054
01/13/19 00:00,0.0
01/13/19 01:00,0.0
01/13/19 02:00,0.0
01/13/19 03:00,0.0
01/13/19 04:00,0.0
01/13/19 05:00,0.0
01/13/19 06:00,0.0
01/13/19 07:00,0.0
01/13/19 08:00,0.0
01/13/19 09:00,0.0
01/13/19 10:00,0.0
01/13/19 11:00,0.13
01/13/19 12:00,0.347
01/13/19 13:00,0.723
01/13/19 14:00,0.934
01/13/19 15:00,1.089
01/13/19 16:00,0.995
01/13/19 17:00,1.126
01/13/19 18:00,0.967
01/13/19 19:00,0.868
01/13/19 20:00,0.651
01/13/19 21:00,0.222
01/13/19 22:00,0.133
01/13/19 23:00,0.039
01/14/19 00:00,0.0
01/14/19 01:00,0.0
01/14/19 02:00,0.0
01/14/19 03:00,0.0
01/14/19 04:00,0.0
01/14/19 05:00,0.0
01/14/19 06:00,0.0
