Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2116192,-,-,-,25.54,-103.41,0,1123,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,GHI
2024,1,1,0,0,14
2024,1,1,1,0,0
2024,1,1,2,0,0
2024,1,1,3,0,0
2024,1,1,4,0,0
2024,1,1,5,0,0
2024,1,1,6,0,0
2024,1,1,7,0,0
2024,1,1,8,0,0
2024,1,1,9,0,0
2024,1,1,10,0,0
2024,1,1,11,0,0
2024,1,1,12,0,0
2024,1,1,13,0,0
2024,1,1,14,0,42
2024,1,1,15,0,194
2024,1,1,16,0,346
2024,1,1,17,0,418
2024,1,1,18,0,333
2024,1,1,19,0,531
2024,1,1,20,0,558
2024,1,1,21,0,295
2024,1,1,22,0,273
2024,1,1,23,0,199
2024,1,2,0,0,28
2024,1,2,1,0,0
2024,1,2,2,0,0
2024,1,2,3,0,0
2024,1,2,4,0,0
2024,1,2,5,0,0
2024,1,2,6,0,0
2024,1,2,7,0,0
2024,1,2,8,0,0
2024,1,2,9,0,0
2024,1,2,10,0,0
2024,1,2,11,0,0
2024,1,2,12,0,0
2024,1,2,13,0,0
2024,1,2,14,0,43
2024,1,2,15,0,121
2024,1,2,16,0,378
2024,1,2,17,0,509
2024,1,2,18,0,573
2024,1,2,19,0,511
2024,1,2,20,0,556
2024,1,2,21,0,447
2024,1,2,22,0,305
2024,1,2,23,0,201
2024,1,3,0,0,21
2024,1,3,1,0,0
2024,1,3,2,0,0
2024,1,3,3,0,0
2024,1,3,4,0,0
2024,1,3,5,0,0
2024,1,3,6,0,0
2024,1,3,7,0,0
2024,1,3,8,0,0
2024,1,3,9,0,0
2024,1,3,10,0,0
2024,1,3,11,0,0
2024,1,3,12,0,0
2024,1,3,13,0,0
2024,1,3,14,0,42
2024,1,3,15,0,245
2024,1,3,16,0,450
2024,1,3,17,0,612
2024,1,3,18,0,715
2024,1,3,19,0,746
2024,1,3,20,0,708
2024,1,3,21,0,600
2024,1,3,22,0,435
2024,1,3,23,0,230
2024,1,4,0,0,32
2024,1,4,1,0,0
2024,1,4,2,0,0
2024,1,4,3,0,0
2024,1,4,4,0,0
2024,1,4,5,0,0
2024,1,4,6,0,0
2024,1,4,7,0,0
2024,1,4,8,0,0
2024,1,4,9,0,0
2024,1,4,10,0,0
2024,1,4,11,0,0
2024,1,4,12,0,0
2024,1,4,13,0,0
2024,1,4,14,0,44
2024,1,4,15,0,254
2024,1,4,16,0,458
2024,1,4,17,0,623
2024,1,4,18,0,727
2024,1,4,19,0,762
2024,1,4,20,0,724
2024,1,4,21,0,619
2024,1,4,22,0,451
2024,1,4,23,0,241
2024,1,5,0,0,35
2024,1,5,1,0,0
2024,1,5,2,0,0
2024,1,5,3,0,0
2024,1,5,4,0,0
2024,1,5,5,0,0
2024,1,5,6,0,0
2024,1,5,7,0,0
2024,1,5,8,0,0
2024,1,5,9,0,0
2024,1,5,10,0,0
2024,1,5,11,0,0
2024,1,5,12,0,0
2024,1,5,13,0,0
2024,1,5,14,0,41
2024,1,5,15,0,243
2024,1,5,16,0,449
2024,1,5,17,0,613
2024,1,5,18,0,718
2024,1,5,19,0,756
2024,1,5,20,0,723
2024,1,5,21,0,615
2024,1,5,22,0,448
2024,1,5,23,0,242
2024,1,6,0,0,36
2024,1,6,1,0,0
2024,1,6,2,0,0
2024,1,6,3,0,0
2024,1,6,4,0,0
2024,1,6,5,0,0
2024,1,6,6,0,0
2024,1,6,7,0,0
2024,1,6,8,0,0
2024,1,6,9,0,0
2024,1,6,10,0,0
2024,1,6,11,0,0
2024,1,6,12,0,0
2024,1,6,13,0,0
2024,1,6,14,0,43
2024,1,6,15,0,197
2024,1,6,16,0,460
2024,1,6,17,0,527
2024,1,6,18,0,733
2024,1,6,19,0,671
2024,1,6,20,0,732
2024,1,6,21,0,624
2024,1,6,22,0,426
2024,1,6,23,0,246
2024,1,7,0,0,38
2024,1,7,1,0,0
2024,1,7,2,0,0
2024,1,7,3,0,0
2024,1,7,4,0,0
2024,1,7,5,0,0
2024,1,7,6,0,0
2024,1,7,7,0,0
2024,1,7,8,0,0
2024,1,7,9,0,0
2024,1,7,10,0,0
2024,1,7,11,0,0
2024,1,7,12,0,0
2024,1,7,13,0,0
2024,1,7,14,0,25
2024,1,7,15,0,167
2024,1,7,16,0,185
2024,1,7,17,0,277
2024,1,7,18,0,476
2024,1,7,19,0,553
2024,1,7,20,0,554
2024,1,7,21,0,603
2024,1,7,22,0,439
2024,1,7,23,0,237
2024,1,8,0,0,39
2024,1,8,1,0,0
2024,1,8,2,0,0
2024,1,8,3,0,0
2024,1,8,4,0,0
2024,1,8,5,0,0
2024,1,8,6,0,0
2024,1,8,7,0,0
2024,1,8,8,0,0
2024,1,8,9,0,0
2024,1,8,10,0,0
2024,1,8,11,0,0
2024,1,8,12,0,0
2024,1,8,13,0,0
2024,1,8,14,0,21
2024,1,8,15,0,215
2024,1,8,16,0,459
2024,1,8,17,0,630
2024,1,8,18,0,741
2024,1,8,19,0,784
2024,1,8,20,0,737
2024,1,8,21,0,635
2024,1,8,22,0,462
2024,1,8,23,0,252
2024,1,9,0,0,43
2024,1,9,1,0,0
2024,1,9,2,0,0
2024,1,9,3,0,0
2024,1,9,4,0,0
2024,1,9,5,0,0
2024,1,9,6,0,0
2024,1,9,7,0,0
2024,1,9,8,0,0
2024,1,9,9,0,0
2024,1,9,10,0,0
2024,1,9,11,0,0
2024,1,9,12,0,0
2024,1,9,13,0,0
2024,1,9,14,0,42
2024,1,9,15,0,197
2024,1,9,16,0,379
2024,1,9,17,0,508
2024,1,9,18,0,742
2024,1,9,19,0,780
2024,1,9,20,0,709
2024,1,9,21,0,618
2024,1,9,22,0,440
2024,1,9,23,0,197
2024,1,10,0,0,7
2024,1,10,1,0,0
2024,1,10,2,0,0
2024,1,10,3,0,0
2024,1,10,4,0,0
2024,1,10,5,0,0
2024,1,10,6,0,0
2024,1,10,7,0,0
2024,1,10,8,0,0
2024,1,10,9,0,0
2024,1,10,10,0,0
2024,1,10,11,0,0
2024,1,10,12,0,0
2024,1,10,13,0,0
2024,1,10,14,0,41
2024,1,10,15,0,91
2024,1,10,16,0,332
2024,1,10,17,0,478
2024,1,10,18,0,581
2024,1,10,19,0,651
2024,1,10,20,0,589
2024,1,10,21,0,603
2024,1,10,22,0,328
2024,1,10,23,0,236
2024,1,11,0,0,18
2024,1,11,1,0,0
2024,1,11,2,0,0
2024,1,11,3,0,0
2024,1,11,4,0,0
2024,1,11,5,0,0
2024,1,11,6,0,0
2024,1,11,7,0,0
2024,1,11,8,0,0
2024,1,11,9,0,0
2024,1,11,10,0,0
2024,1,11,11,0,0
2024,1,11,12,0,0
2024,1,11,13,0,0
2024,1,11,14,0,30
2024,1,11,15,0,169
2024,1,11,16,0,316
2024,1,11,17,0,492
2024,1,11,18,0,655
2024,1,11,19,0,693
2024,1,11,20,0,574
2024,1,11,21,0,511
2024,1,11,22,0,349
2024,1,11,23,0,253
2024,1,12,0,0,13
2024,1,12,1,0,0
2024,1,12,2,0,0
2024,1,12,3,0,0
2024,1,12,4,0,0
2024,1,12,5,0,0
2024,1,12,6,0,0
2024,1,12,7,0,0
2024,1,12,8,0,0
2024,1,12,9,0,0
2024,1,12,10,0,0
2024,1,12,11,0,0
2024,1,12,12,0,0
2024,1,12,13,0,0
2024,1,12,14,0,7
2024,1,12,15,0,247
2024,1,12,16,0,457
2024,1,12,17,0,493
2024,1,12,18,0,736
2024,1,12,19,0,775
2024,1,12,20,0,598
2024,1,12,21,0,555
2024,1,12,22,0,470
2024,1,12,23,0,251
2024,1,13,0,0,50
2024,1,13,1,0,0
2024,1,13,2,0,0
2024,1,13,3,0,0
2024,1,13,4,0,0
2024,1,13,5,0,0
2024,1,13,6,0,0
2024,1,13,7,0,0
2024,1,13,8,0,0
