Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6113733,-,-,-,-22.36,-68.49,0,2681,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI
2019,1,1,0,0,0
2019,1,1,1,0,0
2019,1,1,2,0,0
2019,1,1,3,0,0
2019,1,1,4,0,0
2019,1,1,5,0,0
2019,1,1,6,0,0
2019,1,1,7,0,0
2019,1,1,8,0,0
2019,1,1,9,0,0
2019,1,1,10,0,0
2019,1,1,11,0,173
2019,1,1,12,0,411
2019,1,1,13,0,647
2019,1,1,14,0,849
2019,1,1,15,0,988
2019,1,1,16,0,1047
2019,1,1,17,0,1061
2019,1,1,18,0,983
2019,1,1,19,0,651
2019,1,1,20,0,266
2019,1,1,21,0,215
2019,1,1,22,0,131
2019,1,1,23,0,13
2019,1,2,0,0,0
2019,1,2,1,0,0
2019,1,2,2,0,0
2019,1,2,3,0,0
2019,1,2,4,0,0
2019,1,2,5,0,0
2019,1,2,6,0,0
2019,1,2,7,0,0
2019,1,2,8,0,0
2019,1,2,9,0,0
2019,1,2,10,0,0
2019,1,2,11,0,75
2019,1,2,12,0,206
2019,1,2,13,0,610
2019,1,2,14,0,794
2019,1,2,15,0,928
2019,1,2,16,0,1005
2019,1,2,17,0,698
2019,1,2,18,0,423
2019,1,2,19,0,370
2019,1,2,20,0,355
2019,1,2,21,0,134
